accelZ,accelY,accelZ
9.650879999999999459e-01,1.989750000000000130e-01,-3.027300000000000130e-02
9.704589999999999606e-01,2.087400000000000089e-01,-2.026400000000000076e-02
9.675289999999999724e-01,1.979980000000000073e-01,-2.417000000000000051e-02
9.631349999999999634e-01,2.023929999999999896e-01,-2.417000000000000051e-02
9.680180000000000451e-01,1.994630000000000014e-01,-2.099600000000000077e-02
9.670410000000000394e-01,1.972659999999999969e-01,-1.538100000000000057e-02
9.631349999999999634e-01,1.972659999999999969e-01,-2.368200000000000166e-02
9.641110000000000513e-01,1.936039999999999983e-01,-2.246099999999999833e-02
9.748539999999999983e-01,2.001950000000000118e-01,-1.098599999999999924e-02
9.604489999999999972e-01,1.999509999999999899e-01,-2.417000000000000051e-02
9.726559999999999651e-01,1.970210000000000017e-01,-1.293900000000000085e-02
9.675289999999999724e-01,2.075200000000000100e-01,-1.196299999999999968e-02
9.694819999999999549e-01,1.953120000000000134e-01,-1.171900000000000025e-02
9.648440000000000349e-01,2.038570000000000104e-01,-1.196299999999999968e-02
9.689940000000000220e-01,2.033689999999999942e-01,-4.394999999999999601e-03
9.677729999999999944e-01,2.038570000000000104e-01,-5.126999999999999613e-03
9.670410000000000394e-01,2.038570000000000104e-01,-3.418000000000000031e-03
9.667970000000000175e-01,2.045899999999999941e-01,-9.032999999999999363e-03
9.731450000000000378e-01,2.065430000000000044e-01,-1.391599999999999955e-02
9.631349999999999634e-01,1.962889999999999913e-01,-1.928699999999999859e-02
9.711910000000000265e-01,2.041020000000000056e-01,-2.270499999999999949e-02
9.628910000000000524e-01,2.021479999999999944e-01,-2.587899999999999923e-02
9.638670000000000293e-01,2.016600000000000059e-01,-2.954100000000000129e-02
9.689940000000000220e-01,2.016600000000000059e-01,-2.636700000000000155e-02
9.641110000000000513e-01,2.067869999999999986e-01,-3.222699999999999870e-02
9.699710000000000276e-01,2.011719999999999897e-01,-2.734400000000000025e-02
9.687500000000000000e-01,2.045899999999999941e-01,-3.295900000000000218e-02
9.646000000000000130e-01,1.975099999999999911e-01,-3.637699999999999961e-02
9.675289999999999724e-01,2.036129999999999884e-01,-2.563500000000000154e-02
9.628910000000000524e-01,2.009279999999999955e-01,-2.978499999999999898e-02
9.692380000000000440e-01,2.033689999999999942e-01,-1.562500000000000000e-02
9.665529999999999955e-01,2.026370000000000116e-01,-2.001999999999999960e-02
9.641110000000000513e-01,2.055659999999999987e-01,-1.147500000000000082e-02
9.660640000000000338e-01,2.038570000000000104e-01,-1.440400000000000014e-02
9.650879999999999459e-01,2.060549999999999882e-01,-5.615000000000000199e-03
9.648440000000000349e-01,2.155759999999999899e-01,-6.591999999999999769e-03
9.675289999999999724e-01,2.109379999999999866e-01,-2.686000000000000019e-03
9.680180000000000451e-01,2.133790000000000131e-01,-7.080000000000000356e-03
9.621579999999999577e-01,2.106929999999999914e-01,-2.441000000000000027e-03
9.682619999999999560e-01,2.065430000000000044e-01,-2.197000000000000168e-03
9.658200000000000118e-01,2.148440000000000072e-01,1.221000000000000080e-03
9.655759999999999899e-01,2.080079999999999985e-01,-9.770000000000000039e-04
9.665529999999999955e-01,2.082519999999999927e-01,-2.439999999999999949e-04
9.636230000000000073e-01,2.146000000000000130e-01,7.320000000000000118e-04
9.689940000000000220e-01,2.067869999999999986e-01,7.812000000000000367e-03
9.699710000000000276e-01,2.080079999999999985e-01,3.906000000000000184e-03
9.660640000000000338e-01,2.116699999999999970e-01,5.858999999999999625e-03
9.611819999999999808e-01,2.072749999999999870e-01,3.661999999999999891e-03
9.641110000000000513e-01,2.077640000000000042e-01,-2.686000000000000019e-03
9.702150000000000496e-01,2.160640000000000061e-01,-1.025399999999999923e-02
9.643549999999999622e-01,2.043459999999999999e-01,-1.196299999999999968e-02
